State_From,Top1_To,Top1_Count,Top1_Share,Top2_To,Top2_Count,Top2_Share,Top3_To,Top3_Count,Top3_Share,Top4_To,Top4_Count,Top4_Share,Top5_To,Top5_Count,Top5_Share
"Agriculture, forestry and fishing","Agriculture, forestry and fishing",6324706,0.893141806585776,Unemployment,707605,0.09992426652703351,"Wholesale and retail trade, accommodation and food services",10180,0.001437566203242206,Construction,8746,0.0012350642449465946,Manufacturing,8685,0.0012264501449075205
Business services,Business services,16698863,0.9254480346329559,Unemployment,1094840,0.06067583920159986,Construction,52336,0.0029004518655282325,"Wholesale and retail trade, accommodation and food services",49325,0.0027335827779574303,Personal services,39961,0.002214631553775101
Construction,Construction,12904751,0.890214406119992,Unemployment,1444027,0.09961398234078547,Business services,53285,0.003675783796998778,Manufacturing,23938,0.0016513261242855728,"Wholesale and retail trade, accommodation and food services",16333,0.0011267068923032943
"Electricity, gas, water and waste management","Electricity, gas, water and waste management",1273945,0.9493668999447793,Unemployment,55357,0.04125303955841355,Construction,3504,0.002611244298149847,Business services,3034,0.0022609917809893365,"Wholesale and retail trade, accommodation and food services",1139,0.0008488034405230238
Entry,"Wholesale and retail trade, accommodation and food services",301017,0.20418577549922637,Personal services,208073,0.14114002486720195,Business services,201052,0.1363775419184646,Unemployment,182177,0.12357425668026245,Construction,154157,0.10456773734916712
Financial intermediation,Financial intermediation,4670516,0.9436670770929213,Unemployment,212940,0.04302404004100761,Business services,14407,0.0029109014035446443,"Wholesale and retail trade, accommodation and food services",12647,0.0025552974283771165,Personal services,11524,0.002328397846494654
Manufacturing,Manufacturing,12193531,0.9440684146875876,Unemployment,613318,0.04748535530515007,"Wholesale and retail trade, accommodation and food services",25007,0.0019361347296441452,Construction,24839,0.0019231275462722806,Business services,23837,0.0018455489883043743
Mining,Mining,2012619,0.9221005146963823,Unemployment,156180,0.07155535070735246,Construction,3918,0.0017950689209335824,Business services,3834,0.0017565835229350064,Manufacturing,1284,0.0005882767979782337
Personal services,Personal services,18776628,0.9554379141578737,Unemployment,756634,0.03850088582150792,Business services,37923,0.001929690039053287,"Wholesale and retail trade, accommodation and food services",22438,0.0011417447221020926,Financial intermediation,12533,0.0006377344951468725
Public administration,Public administration,1963564,0.9591606750590693,Unemployment,72260,0.035297525509618406,Personal services,5136,0.002508830487370608,Business services,1515,0.0007400463762395776,Construction,1325,0.0006472352795494656
Real estate and housing services,Real estate and housing services,982612,0.9399037150900243,Unemployment,47696,0.045622939262836,Construction,3514,0.003361267371888747,"Wholesale and retail trade, accommodation and food services",2721,0.002602734353702129,Business services,2690,0.002573081738867595
"Transport, communications and information services","Transport, communications and information services",11502573,0.9475230820594676,Unemployment,544430,0.04484735646238767,Business services,26474,0.002180792599572491,"Wholesale and retail trade, accommodation and food services",16913,0.0013932063623392588,Construction,13538,0.0011151911389670009
Unemployment,Unemployment,69478152,0.9142823785965066,Construction,1374379,0.018085836554966057,"Wholesale and retail trade, accommodation and food services",1161551,0.015285173548386129,Business services,1049866,0.01381547948609226,Personal services,693071,0.009120314576246348
"Wholesale and retail trade, accommodation and food services","Wholesale and retail trade, accommodation and food services",23779536,0.9422923066790966,Unemployment,1297190,0.05140269167998305,Business services,43749,0.0017336059931911119,Manufacturing,24952,0.000988752582735711,Personal services,21240,0.0008416601818413956
