index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,year,month,Count_Workers_sa,Count_Workers_trend,Count_Workers_sa_cycle
138,2019-07-01,2019-07-01,7,"Transport, communications and information services",70054,2019,7,70601.72301368463,69472.625,3101.5172938335018
139,2019-08-01,2019-08-01,7,"Transport, communications and information services",70376,2019,8,71160.65928819444,69559.70833333333,3481.679367868681
140,2019-09-01,2019-09-01,7,"Transport, communications and information services",70488,2019,9,71047.83820976307,69467.125,3191.5346766106813
141,2019-10-01,2019-10-01,7,"Transport, communications and information services",70761,2019,10,70973.73128574346,69045.20833333333,2941.5896620946733
142,2019-11-01,2019-11-01,7,"Transport, communications and information services",71031,2019,11,71121.01513991013,68499.33333333333,2914.5312567382207
143,2019-12-01,2019-12-01,7,"Transport, communications and information services",71375,2019,12,71153.06201491013,68063.08333333333,2773.719314380316
144,2020-01-01,2020-01-01,7,"Transport, communications and information services",66892,2020,1,66502.06982741013,67602.0,-2048.68312578756
145,2020-02-01,2020-02-01,7,"Transport, communications and information services",67073,2020,2,66618.30420241013,67012.125,-2102.4667183957645
146,2020-03-01,2020-03-01,7,"Transport, communications and information services",66630,2020,3,65912.69222324346,66434.375,-2976.7448520011967
147,2020-04-01,2020-04-01,7,"Transport, communications and information services",63264,2020,4,62737.111494076795,66011.08333333333,-6319.664171590317
148,2020-05-01,2020-05-01,7,"Transport, communications and information services",63497,2020,5,63405.53857741013,65800.33333333333,-5817.249395106046
149,2020-06-01,2020-06-01,7,"Transport, communications and information services",63210,2020,6,63417.25472324346,65704.125,-5970.171790150416
150,2020-07-01,2020-07-01,7,"Transport, communications and information services",63200,2020,7,63747.72301368464,65817.54166666667,-5802.875906034002
151,2020-08-01,2020-08-01,7,"Transport, communications and information services",63073,2020,8,63857.659288194445,66121.54166666667,-5854.507468574091
152,2020-09-01,2020-09-01,7,"Transport, communications and information services",63925,2020,9,64484.838209763075,66489.04166666666,-5387.108604781482
153,2020-10-01,2020-10-01,7,"Transport, communications and information services",67165,2020,10,67377.73128574346,67077.58333333333,-2651.979423635552
154,2020-11-01,2020-11-01,7,"Transport, communications and information services",69569,2020,11,69659.01513991013,67821.625,-526.1733504979929
155,2020-12-01,2020-12-01,7,"Transport, communications and information services",70528,2020,12,70306.06201491013,68588.66666666666,-32.02772905380698
156,2021-01-01,2021-01-01,7,"Transport, communications and information services",70461,2021,1,70071.06982741013,69401.74999999999,-417.0501689888333
157,2021-02-01,2021-02-01,7,"Transport, communications and information services",70800,2021,2,70345.30420241013,70272.58333333333,-289.6803245280462
