Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,Total_Workers,Share
2009-07-01,8,Financial intermediation,18111,406264,4.46
2009-07-01,9,Real estate and housing services,4210,406264,1.04
2009-07-01,10,Business services,57417,406264,14.13
2009-07-01,11,Personal services,62661,406264,15.42
2009-07-01,12,Public administration,5911,406264,1.45
2009-08-01,1,"Agriculture, forestry and fishing",28169,409760,6.87
2009-08-01,2,Mining,6083,409760,1.48
2009-08-01,3,Manufacturing,47234,409760,11.53
2009-08-01,4,"Electricity, gas, water and waste management",3674,409760,0.9
2009-08-01,5,Construction,52744,409760,12.87
2009-08-01,6,"Wholesale and retail trade, accommodation and food services",82122,409760,20.04
2009-08-01,7,"Transport, communications and information services",42813,409760,10.45
2009-08-01,8,Financial intermediation,17906,409760,4.37
2009-08-01,9,Real estate and housing services,4226,409760,1.03
2009-08-01,10,Business services,58031,409760,14.16
2009-08-01,11,Personal services,64037,409760,15.63
2009-08-01,12,Public administration,6289,409760,1.53
2009-09-01,1,"Agriculture, forestry and fishing",27659,412608,6.7
2009-09-01,2,Mining,5910,412608,1.43
2009-09-01,3,Manufacturing,46984,412608,11.39
2009-09-01,4,"Electricity, gas, water and waste management",3703,412608,0.9
2009-09-01,5,Construction,53410,412608,12.94
2009-09-01,6,"Wholesale and retail trade, accommodation and food services",83265,412608,20.18
2009-09-01,7,"Transport, communications and information services",43199,412608,10.47
2009-09-01,8,Financial intermediation,17386,412608,4.21
2009-09-01,9,Real estate and housing services,4260,412608,1.03
2009-09-01,10,Business services,58854,412608,14.26
2009-09-01,11,Personal services,64484,412608,15.63
2009-09-01,12,Public administration,6335,412608,1.54
2009-10-01,1,"Agriculture, forestry and fishing",29505,419148,7.04
2009-10-01,2,Mining,6156,419148,1.47
2009-10-01,3,Manufacturing,48030,419148,11.46
2009-10-01,4,"Electricity, gas, water and waste management",3733,419148,0.89
2009-10-01,5,Construction,54883,419148,13.09
2009-10-01,6,"Wholesale and retail trade, accommodation and food services",83321,419148,19.88
2009-10-01,7,"Transport, communications and information services",43510,419148,10.38
2009-10-01,8,Financial intermediation,17440,419148,4.16
2009-10-01,9,Real estate and housing services,4301,419148,1.03
2009-10-01,10,Business services,59706,419148,14.24
2009-10-01,11,Personal services,65006,419148,15.51
2009-10-01,12,Public administration,6430,419148,1.53
2009-11-01,1,"Agriculture, forestry and fishing",32687,427057,7.65
2009-11-01,2,Mining,6057,427057,1.42
2009-11-01,3,Manufacturing,48921,427057,11.46
2009-11-01,4,"Electricity, gas, water and waste management",3805,427057,0.89
2009-11-01,5,Construction,56069,427057,13.13
2009-11-01,6,"Wholesale and retail trade, accommodation and food services",84340,427057,19.75
2009-11-01,7,"Transport, communications and information services",43765,427057,10.25
2009-11-01,8,Financial intermediation,17475,427057,4.09
2009-11-01,9,Real estate and housing services,4367,427057,1.02
2009-11-01,10,Business services,60551,427057,14.18
2009-11-01,11,Personal services,65475,427057,15.33
2009-11-01,12,Public administration,6404,427057,1.5
2009-12-01,1,"Agriculture, forestry and fishing",35307,430243,8.21
2009-12-01,2,Mining,5935,430243,1.38
2009-12-01,3,Manufacturing,48232,430243,11.21
2009-12-01,4,"Electricity, gas, water and waste management",3800,430243,0.88
2009-12-01,5,Construction,55433,430243,12.88
2009-12-01,6,"Wholesale and retail trade, accommodation and food services",84939,430243,19.74
2009-12-01,7,"Transport, communications and information services",44147,430243,10.26
2009-12-01,8,Financial intermediation,17149,430243,3.99
2009-12-01,9,Real estate and housing services,4417,430243,1.03
2009-12-01,10,Business services,61323,430243,14.25
2009-12-01,11,Personal services,65905,430243,15.32
2009-12-01,12,Public administration,6441,430243,1.5
2010-01-01,1,"Agriculture, forestry and fishing",33928,431866,7.86
2010-01-01,2,Mining,6561,431866,1.52
2010-01-01,3,Manufacturing,49100,431866,11.37
2010-01-01,4,"Electricity, gas, water and waste management",3913,431866,0.91
2010-01-01,5,Construction,54132,431866,12.53
2010-01-01,6,"Wholesale and retail trade, accommodation and food services",86546,431866,20.04
2010-01-01,7,"Transport, communications and information services",44849,431866,10.38
2010-01-01,8,Financial intermediation,17527,431866,4.06
2010-01-01,9,Real estate and housing services,4458,431866,1.03
2010-01-01,10,Business services,62307,431866,14.43
2010-01-01,11,Personal services,65681,431866,15.21
2010-01-01,12,Public administration,6040,431866,1.4
2010-02-01,1,"Agriculture, forestry and fishing",33128,434962,7.62
2010-02-01,2,Mining,6809,434962,1.57
2010-02-01,3,Manufacturing,49833,434962,11.46
2010-02-01,4,"Electricity, gas, water and waste management",3917,434962,0.9
2010-02-01,5,Construction,55242,434962,12.7
2010-02-01,6,"Wholesale and retail trade, accommodation and food services",87328,434962,20.08
2010-02-01,7,"Transport, communications and information services",45149,434962,10.38
2010-02-01,8,Financial intermediation,17312,434962,3.98
2010-02-01,9,Real estate and housing services,4492,434962,1.03
2010-02-01,10,Business services,63315,434962,14.56
2010-02-01,11,Personal services,65343,434962,15.02
2010-02-01,12,Public administration,6054,434962,1.39
2010-03-01,1,"Agriculture, forestry and fishing",33618,437062,7.69
2010-03-01,2,Mining,6477,437062,1.48
2010-03-01,3,Manufacturing,50217,437062,11.49
2010-03-01,4,"Electricity, gas, water and waste management",3965,437062,0.91
2010-03-01,5,Construction,55288,437062,12.65
2010-03-01,6,"Wholesale and retail trade, accommodation and food services",86277,437062,19.74
2010-03-01,7,"Transport, communications and information services",45237,437062,10.35
2010-03-01,8,Financial intermediation,18071,437062,4.13
2010-03-01,9,Real estate and housing services,4482,437062,1.03
2010-03-01,10,Business services,63335,437062,14.49
2010-03-01,11,Personal services,67453,437062,15.43
2010-03-01,12,Public administration,6093,437062,1.39
2010-04-01,1,"Agriculture, forestry and fishing",31525,443594,7.11
2010-04-01,2,Mining,7039,443594,1.59
2010-04-01,3,Manufacturing,51509,443594,11.61
2010-04-01,4,"Electricity, gas, water and waste management",3981,443594,0.9
2010-04-01,5,Construction,56858,443594,12.82
2010-04-01,6,"Wholesale and retail trade, accommodation and food services",88599,443594,19.97
2010-04-01,7,"Transport, communications and information services",45640,443594,10.29
2010-04-01,8,Financial intermediation,18206,443594,4.1
2010-04-01,9,Real estate and housing services,4579,443594,1.03
2010-04-01,10,Business services,63959,443594,14.42
2010-04-01,11,Personal services,69129,443594,15.58
2010-04-01,12,Public administration,6340,443594,1.43
2010-05-01,1,"Agriculture, forestry and fishing",28496,443160,6.43
2010-05-01,2,Mining,7191,443160,1.62
2010-05-01,3,Manufacturing,51467,443160,11.61
2010-05-01,4,"Electricity, gas, water and waste management",4018,443160,0.91
2010-05-01,5,Construction,57579,443160,12.99
2010-05-01,6,"Wholesale and retail trade, accommodation and food services",88952,443160,20.07
2010-05-01,7,"Transport, communications and information services",45970,443160,10.37
2010-05-01,8,Financial intermediation,17405,443160,3.93
2010-05-01,9,Real estate and housing services,4641,443160,1.05
2010-05-01,10,Business services,64428,443160,14.54
2010-05-01,11,Personal services,69941,443160,15.78
2010-05-01,12,Public administration,6496,443160,1.47
2010-06-01,1,"Agriculture, forestry and fishing",27872,446871,6.24
2010-06-01,2,Mining,7316,446871,1.64
2010-06-01,3,Manufacturing,51497,446871,11.52
2010-06-01,4,"Electricity, gas, water and waste management",4035,446871,0.9
2010-06-01,5,Construction,58981,446871,13.2
2010-06-01,6,"Wholesale and retail trade, accommodation and food services",89641,446871,20.06
2010-06-01,7,"Transport, communications and information services",46089,446871,10.31
2010-06-01,8,Financial intermediation,18439,446871,4.13
2010-06-01,9,Real estate and housing services,4674,446871,1.05
2010-06-01,10,Business services,64613,446871,14.46
2010-06-01,11,Personal services,70786,446871,15.84
2010-06-01,12,Public administration,6569,446871,1.47
2010-07-01,1,"Agriculture, forestry and fishing",29798,449224,6.63
2010-07-01,2,Mining,7364,449224,1.64
2010-07-01,3,Manufacturing,51712,449224,11.51
2010-07-01,4,"Electricity, gas, water and waste management",3996,449224,0.89
2010-07-01,5,Construction,58943,449224,13.12
2010-07-01,6,"Wholesale and retail trade, accommodation and food services",90106,449224,20.06
2010-07-01,7,"Transport, communications and information services",46123,449224,10.27
2010-07-01,8,Financial intermediation,18370,449224,4.09
2010-07-01,9,Real estate and housing services,4643,449224,1.03
2010-07-01,10,Business services,64437,449224,14.34
2010-07-01,11,Personal services,70353,449224,15.66
2010-07-01,12,Public administration,6539,449224,1.46
2010-08-01,1,"Agriculture, forestry and fishing",30044,454615,6.61
2010-08-01,2,Mining,7710,454615,1.7
2010-08-01,3,Manufacturing,52433,454615,11.53
2010-08-01,4,"Electricity, gas, water and waste management",4001,454615,0.88
2010-08-01,5,Construction,60303,454615,13.26
2010-08-01,6,"Wholesale and retail trade, accommodation and food services",90852,454615,19.98
2010-08-01,7,"Transport, communications and information services",46324,454615,10.19
2010-08-01,8,Financial intermediation,18723,454615,4.12
2010-08-01,9,Real estate and housing services,4634,454615,1.02
2010-08-01,10,Business services,65128,454615,14.33
2010-08-01,11,Personal services,71215,454615,15.66
2010-08-01,12,Public administration,6662,454615,1.47
2010-09-01,1,"Agriculture, forestry and fishing",29252,455859,6.42
2010-09-01,2,Mining,7185,455859,1.58
2010-09-01,3,Manufacturing,52395,455859,11.49
2010-09-01,4,"Electricity, gas, water and waste management",3958,455859,0.87
2010-09-01,5,Construction,60334,455859,13.24
2010-09-01,6,"Wholesale and retail trade, accommodation and food services",92101,455859,20.2
2010-09-01,7,"Transport, communications and information services",46588,455859,10.22
2010-09-01,8,Financial intermediation,18545,455859,4.07
2010-09-01,9,Real estate and housing services,4689,455859,1.03
2010-09-01,10,Business services,65678,455859,14.41
2010-09-01,11,Personal services,71787,455859,15.75
2010-09-01,12,Public administration,6721,455859,1.47
2010-10-01,1,"Agriculture, forestry and fishing",31402,462256,6.79
2010-10-01,2,Mining,7557,462256,1.63
2010-10-01,3,Manufacturing,53453,462256,11.56
2010-10-01,4,"Electricity, gas, water and waste management",3984,462256,0.86
2010-10-01,5,Construction,60454,462256,13.08
2010-10-01,6,"Wholesale and retail trade, accommodation and food services",92636,462256,20.04
2010-10-01,7,"Transport, communications and information services",47196,462256,10.21
2010-10-01,8,Financial intermediation,18724,462256,4.05
2010-10-01,9,Real estate and housing services,4755,462256,1.03
2010-10-01,10,Business services,66725,462256,14.43
2010-10-01,11,Personal services,72024,462256,15.58
2010-10-01,12,Public administration,6847,462256,1.48
2010-11-01,1,"Agriculture, forestry and fishing",34482,470556,7.33
2010-11-01,2,Mining,7885,470556,1.68
2010-11-01,3,Manufacturing,54368,470556,11.55
2010-11-01,4,"Electricity, gas, water and waste management",3986,470556,0.85
2010-11-01,5,Construction,60941,470556,12.95
2010-11-01,6,"Wholesale and retail trade, accommodation and food services",94203,470556,20.02
2010-11-01,7,"Transport, communications and information services",47806,470556,10.16
2010-11-01,8,Financial intermediation,18823,470556,4.0
2010-11-01,9,Real estate and housing services,4726,470556,1.0
2010-11-01,10,Business services,67514,470556,14.35
2010-11-01,11,Personal services,72487,470556,15.4
2010-11-01,12,Public administration,6847,470556,1.46
2010-12-01,1,"Agriculture, forestry and fishing",37656,493861,7.62
2010-12-01,2,Mining,9960,493861,2.02
2010-12-01,3,Manufacturing,55951,493861,11.33
2010-12-01,4,"Electricity, gas, water and waste management",4357,493861,0.88
2010-12-01,5,Construction,62063,493861,12.57
2010-12-01,6,"Wholesale and retail trade, accommodation and food services",97769,493861,19.8
2010-12-01,7,"Transport, communications and information services",50249,493861,10.17
2010-12-01,8,Financial intermediation,21416,493861,4.34
2010-12-01,9,Real estate and housing services,5016,493861,1.02
2010-12-01,10,Business services,71454,493861,14.47
2010-12-01,11,Personal services,74750,493861,15.14
2010-12-01,12,Public administration,7303,493861,1.48
2011-01-01,1,"Agriculture, forestry and fishing",36119,488682,7.39
2011-01-01,2,Mining,9977,488682,2.04
2011-01-01,3,Manufacturing,55857,488682,11.43
2011-01-01,4,"Electricity, gas, water and waste management",4376,488682,0.9
2011-01-01,5,Construction,60241,488682,12.33
2011-01-01,6,"Wholesale and retail trade, accommodation and food services",99021,488682,20.26
2011-01-01,7,"Transport, communications and information services",50245,488682,10.28
2011-01-01,8,Financial intermediation,21185,488682,4.34
2011-01-01,9,Real estate and housing services,5002,488682,1.02
2011-01-01,10,Business services,71030,488682,14.54
2011-01-01,11,Personal services,72265,488682,14.79
2011-01-01,12,Public administration,6914,488682,1.41
2011-02-01,1,"Agriculture, forestry and fishing",35962,492689,7.3
2011-02-01,2,Mining,10189,492689,2.07
2011-02-01,3,Manufacturing,56555,492689,11.48
2011-02-01,4,"Electricity, gas, water and waste management",4425,492689,0.9
2011-02-01,5,Construction,61531,492689,12.49
2011-02-01,6,"Wholesale and retail trade, accommodation and food services",99757,492689,20.25
2011-02-01,7,"Transport, communications and information services",50476,492689,10.25
2011-02-01,8,Financial intermediation,21380,492689,4.34
2011-02-01,9,Real estate and housing services,4992,492689,1.01
2011-02-01,10,Business services,71984,492689,14.61
2011-02-01,11,Personal services,71954,492689,14.6
2011-02-01,12,Public administration,6884,492689,1.4
2011-03-01,1,"Agriculture, forestry and fishing",36393,500640,7.27
2011-03-01,2,Mining,10480,500640,2.09
2011-03-01,3,Manufacturing,57728,500640,11.53
2011-03-01,4,"Electricity, gas, water and waste management",4507,500640,0.9
2011-03-01,5,Construction,62897,500640,12.56
2011-03-01,6,"Wholesale and retail trade, accommodation and food services",100603,500640,20.09
2011-03-01,7,"Transport, communications and information services",51105,500640,10.21
2011-03-01,8,Financial intermediation,21781,500640,4.35
2011-03-01,9,Real estate and housing services,5029,500640,1.0
2011-03-01,10,Business services,72631,500640,14.51
2011-03-01,11,Personal services,74826,500640,14.95
2011-03-01,12,Public administration,6758,500640,1.35
2011-04-01,1,"Agriculture, forestry and fishing",34048,503622,6.76
2011-04-01,2,Mining,10604,503622,2.11
2011-04-01,3,Manufacturing,58381,503622,11.59
2011-04-01,4,"Electricity, gas, water and waste management",4556,503622,0.9
2011-04-01,5,Construction,63611,503622,12.63
2011-04-01,6,"Wholesale and retail trade, accommodation and food services",102125,503622,20.28
2011-04-01,7,"Transport, communications and information services",51426,503622,10.21
2011-04-01,8,Financial intermediation,21643,503622,4.3
2011-04-01,9,Real estate and housing services,5030,503622,1.0
2011-04-01,10,Business services,73087,503622,14.51
2011-04-01,11,Personal services,76321,503622,15.15
2011-04-01,12,Public administration,6877,503622,1.37
2011-05-01,1,"Agriculture, forestry and fishing",30844,503681,6.12
2011-05-01,2,Mining,10778,503681,2.14
2011-05-01,3,Manufacturing,58567,503681,11.63
2011-05-01,4,"Electricity, gas, water and waste management",4631,503681,0.92
2011-05-01,5,Construction,64309,503681,12.77
2011-05-01,6,"Wholesale and retail trade, accommodation and food services",102384,503681,20.33
2011-05-01,7,"Transport, communications and information services",51437,503681,10.21
2011-05-01,8,Financial intermediation,22039,503681,4.38
2011-05-01,9,Real estate and housing services,5063,503681,1.01
2011-05-01,10,Business services,73873,503681,14.67
2011-05-01,11,Personal services,76699,503681,15.23
2011-05-01,12,Public administration,6971,503681,1.38
2011-06-01,1,"Agriculture, forestry and fishing",30902,505539,6.11
2011-06-01,2,Mining,11003,505539,2.18
2011-06-01,3,Manufacturing,58457,505539,11.56
2011-06-01,4,"Electricity, gas, water and waste management",4667,505539,0.92
2011-06-01,5,Construction,64672,505539,12.79
2011-06-01,6,"Wholesale and retail trade, accommodation and food services",102429,505539,20.26
2011-06-01,7,"Transport, communications and information services",51700,505539,10.23
2011-06-01,8,Financial intermediation,22393,505539,4.43
2011-06-01,9,Real estate and housing services,5052,505539,1.0
2011-06-01,10,Business services,73971,505539,14.63
2011-06-01,11,Personal services,77052,505539,15.24
2011-06-01,12,Public administration,7064,505539,1.4
2011-07-01,1,"Agriculture, forestry and fishing",32071,507472,6.32
2011-07-01,2,Mining,11131,507472,2.19
2011-07-01,3,Manufacturing,58801,507472,11.59
2011-07-01,4,"Electricity, gas, water and waste management",4783,507472,0.94
2011-07-01,5,Construction,64517,507472,12.71
2011-07-01,6,"Wholesale and retail trade, accommodation and food services",102554,507472,20.21
2011-07-01,7,"Transport, communications and information services",51390,507472,10.13
2011-07-01,8,Financial intermediation,22239,507472,4.38
2011-07-01,9,Real estate and housing services,5092,507472,1.0
2011-07-01,10,Business services,74397,507472,14.66
2011-07-01,11,Personal services,77338,507472,15.24
2011-07-01,12,Public administration,6964,507472,1.37
2011-08-01,1,"Agriculture, forestry and fishing",32029,513150,6.24
2011-08-01,2,Mining,11330,513150,2.21
2011-08-01,3,Manufacturing,59218,513150,11.54
2011-08-01,4,"Electricity, gas, water and waste management",4812,513150,0.94
2011-08-01,5,Construction,65824,513150,12.83
2011-08-01,6,"Wholesale and retail trade, accommodation and food services",103652,513150,20.2
2011-08-01,7,"Transport, communications and information services",51646,513150,10.06
2011-08-01,8,Financial intermediation,22871,513150,4.46
2011-08-01,9,Real estate and housing services,5096,513150,0.99
2011-08-01,10,Business services,75320,513150,14.68
2011-08-01,11,Personal services,78420,513150,15.28
2011-08-01,12,Public administration,6954,513150,1.36
2011-09-01,1,"Agriculture, forestry and fishing",31285,516237,6.06
2011-09-01,2,Mining,11520,516237,2.23
2011-09-01,3,Manufacturing,59148,516237,11.46
2011-09-01,4,"Electricity, gas, water and waste management",4872,516237,0.94
2011-09-01,5,Construction,66490,516237,12.88
2011-09-01,6,"Wholesale and retail trade, accommodation and food services",104757,516237,20.29
2011-09-01,7,"Transport, communications and information services",52077,516237,10.09
2011-09-01,8,Financial intermediation,22918,516237,4.44
2011-09-01,9,Real estate and housing services,5190,516237,1.01
2011-09-01,10,Business services,75875,516237,14.7
2011-09-01,11,Personal services,79044,516237,15.31
2011-09-01,12,Public administration,7017,516237,1.36
2011-10-01,1,"Agriculture, forestry and fishing",33728,522358,6.46
2011-10-01,2,Mining,11753,522358,2.25
2011-10-01,3,Manufacturing,59835,522358,11.45
2011-10-01,4,"Electricity, gas, water and waste management",4950,522358,0.95
2011-10-01,5,Construction,67093,522358,12.84
2011-10-01,6,"Wholesale and retail trade, accommodation and food services",105372,522358,20.17
2011-10-01,7,"Transport, communications and information services",52402,522358,10.03
2011-10-01,8,Financial intermediation,22919,522358,4.39
2011-10-01,9,Real estate and housing services,4732,522358,0.91
2011-10-01,10,Business services,77280,522358,14.79
2011-10-01,11,Personal services,79072,522358,15.14
2011-10-01,12,Public administration,7165,522358,1.37
2011-11-01,1,"Agriculture, forestry and fishing",36578,532261,6.87
2011-11-01,2,Mining,11947,532261,2.24
2011-11-01,3,Manufacturing,60784,532261,11.42
2011-11-01,4,"Electricity, gas, water and waste management",5070,532261,0.95
2011-11-01,5,Construction,68978,532261,12.96
2011-11-01,6,"Wholesale and retail trade, accommodation and food services",106636,532261,20.03
2011-11-01,7,"Transport, communications and information services",52665,532261,9.89
2011-11-01,8,Financial intermediation,23167,532261,4.35
2011-11-01,9,Real estate and housing services,4815,532261,0.9
2011-11-01,10,Business services,78850,532261,14.81
2011-11-01,11,Personal services,79685,532261,14.97
2011-11-01,12,Public administration,7221,532261,1.36
2011-12-01,1,"Agriculture, forestry and fishing",39238,540232,7.26
2011-12-01,2,Mining,12179,540232,2.25
2011-12-01,3,Manufacturing,60440,540232,11.19
2011-12-01,4,"Electricity, gas, water and waste management",5120,540232,0.95
2011-12-01,5,Construction,69774,540232,12.92
2011-12-01,6,"Wholesale and retail trade, accommodation and food services",107991,540232,19.99
2011-12-01,7,"Transport, communications and information services",53375,540232,9.88
2011-12-01,8,Financial intermediation,23966,540232,4.44
2011-12-01,9,Real estate and housing services,4931,540232,0.91
2011-12-01,10,Business services,79841,540232,14.78
2011-12-01,11,Personal services,80378,540232,14.88
2011-12-01,12,Public administration,7454,540232,1.38
2012-01-01,1,"Agriculture, forestry and fishing",37277,516355,7.22
2012-01-01,2,Mining,9490,516355,1.84
2012-01-01,3,Manufacturing,59151,516355,11.46
2012-01-01,4,"Electricity, gas, water and waste management",4700,516355,0.91
2012-01-01,5,Construction,66988,516355,12.97
2012-01-01,6,"Wholesale and retail trade, accommodation and food services",105131,516355,20.36
2012-01-01,7,"Transport, communications and information services",51702,516355,10.01
2012-01-01,8,Financial intermediation,21404,516355,4.15
2012-01-01,9,Real estate and housing services,4631,516355,0.9
2012-01-01,10,Business services,76178,516355,14.75
2012-01-01,11,Personal services,76813,516355,14.88
2012-01-01,12,Public administration,7175,516355,1.39
2012-02-01,1,"Agriculture, forestry and fishing",37101,520021,7.13
2012-02-01,2,Mining,10118,520021,1.95
2012-02-01,3,Manufacturing,59612,520021,11.46
2012-02-01,4,"Electricity, gas, water and waste management",4735,520021,0.91
2012-02-01,5,Construction,68067,520021,13.09
2012-02-01,6,"Wholesale and retail trade, accommodation and food services",105601,520021,20.31
2012-02-01,7,"Transport, communications and information services",52261,520021,10.05
2012-02-01,8,Financial intermediation,21067,520021,4.05
2012-02-01,9,Real estate and housing services,4574,520021,0.88
2012-02-01,10,Business services,76936,520021,14.79
2012-02-01,11,Personal services,76882,520021,14.78
2012-02-01,12,Public administration,7152,520021,1.38
2012-03-01,1,"Agriculture, forestry and fishing",37048,527293,7.03
2012-03-01,2,Mining,9885,527293,1.87
2012-03-01,3,Manufacturing,60111,527293,11.4
2012-03-01,4,"Electricity, gas, water and waste management",4706,527293,0.89
2012-03-01,5,Construction,69890,527293,13.25
2012-03-01,6,"Wholesale and retail trade, accommodation and food services",107242,527293,20.34
2012-03-01,7,"Transport, communications and information services",53002,527293,10.05
2012-03-01,8,Financial intermediation,21684,527293,4.11
2012-03-01,9,Real estate and housing services,4634,527293,0.88
2012-03-01,10,Business services,77134,527293,14.63
2012-03-01,11,Personal services,79799,527293,15.13
2012-03-01,12,Public administration,7206,527293,1.37
2012-04-01,1,"Agriculture, forestry and fishing",34426,529661,6.5
2012-04-01,2,Mining,10044,529661,1.9
2012-04-01,3,Manufacturing,60581,529661,11.44
2012-04-01,4,"Electricity, gas, water and waste management",4802,529661,0.91
2012-04-01,5,Construction,70672,529661,13.34
2012-04-01,6,"Wholesale and retail trade, accommodation and food services",108703,529661,20.52
2012-04-01,7,"Transport, communications and information services",53048,529661,10.02
2012-04-01,8,Financial intermediation,21593,529661,4.08
2012-04-01,9,Real estate and housing services,4683,529661,0.88
2012-04-01,10,Business services,77131,529661,14.56
2012-04-01,11,Personal services,81200,529661,15.33
2012-04-01,12,Public administration,7579,529661,1.43
2012-05-01,1,"Agriculture, forestry and fishing",31702,530107,5.98
2012-05-01,2,Mining,10198,530107,1.92
2012-05-01,3,Manufacturing,60535,530107,11.42
2012-05-01,4,"Electricity, gas, water and waste management",4712,530107,0.89
2012-05-01,5,Construction,71519,530107,13.49
2012-05-01,6,"Wholesale and retail trade, accommodation and food services",109265,530107,20.61
2012-05-01,7,"Transport, communications and information services",53327,530107,10.06
2012-05-01,8,Financial intermediation,22052,530107,4.16
2012-05-01,9,Real estate and housing services,4629,530107,0.87
2012-05-01,10,Business services,77037,530107,14.53
2012-05-01,11,Personal services,81967,530107,15.46
2012-05-01,12,Public administration,7674,530107,1.45
2012-06-01,1,"Agriculture, forestry and fishing",31648,532166,5.95
2012-06-01,2,Mining,10791,532166,2.03
2012-06-01,3,Manufacturing,60598,532166,11.39
2012-06-01,4,"Electricity, gas, water and waste management",4850,532166,0.91
2012-06-01,5,Construction,71669,532166,13.47
2012-06-01,6,"Wholesale and retail trade, accommodation and food services",109545,532166,20.58
2012-06-01,7,"Transport, communications and information services",53610,532166,10.07
2012-06-01,8,Financial intermediation,22128,532166,4.16
2012-06-01,9,Real estate and housing services,4552,532166,0.86
2012-06-01,10,Business services,76988,532166,14.47
2012-06-01,11,Personal services,82477,532166,15.5
2012-06-01,12,Public administration,7705,532166,1.45
2012-07-01,1,"Agriculture, forestry and fishing",29791,524262,5.68
2012-07-01,2,Mining,13160,524262,2.51
2012-07-01,3,Manufacturing,60303,524262,11.5
2012-07-01,4,"Electricity, gas, water and waste management",5222,524262,1.0
2012-07-01,5,Construction,70873,524262,13.52
2012-07-01,6,"Wholesale and retail trade, accommodation and food services",104929,524262,20.01
2012-07-01,7,"Transport, communications and information services",51763,524262,9.87
2012-07-01,8,Financial intermediation,24587,524262,4.69
2012-07-01,9,Real estate and housing services,4664,524262,0.89
2012-07-01,10,Business services,77208,524262,14.73
2012-07-01,11,Personal services,79218,524262,15.11
2012-07-01,12,Public administration,6826,524262,1.3
2012-08-01,1,"Agriculture, forestry and fishing",29744,532472,5.59
2012-08-01,2,Mining,13322,532472,2.5
2012-08-01,3,Manufacturing,61215,532472,11.5
2012-08-01,4,"Electricity, gas, water and waste management",5321,532472,1.0
2012-08-01,5,Construction,72508,532472,13.62
2012-08-01,6,"Wholesale and retail trade, accommodation and food services",108027,532472,20.29
2012-08-01,7,"Transport, communications and information services",52098,532472,9.78
2012-08-01,8,Financial intermediation,24955,532472,4.69
2012-08-01,9,Real estate and housing services,4718,532472,0.89
2012-08-01,10,Business services,77925,532472,14.63
2012-08-01,11,Personal services,80112,532472,15.05
2012-08-01,12,Public administration,6953,532472,1.31
2012-09-01,1,"Agriculture, forestry and fishing",28115,531200,5.29
2012-09-01,2,Mining,13377,531200,2.52
2012-09-01,3,Manufacturing,60178,531200,11.33
2012-09-01,4,"Electricity, gas, water and waste management",5365,531200,1.01
2012-09-01,5,Construction,72749,531200,13.7
2012-09-01,6,"Wholesale and retail trade, accommodation and food services",106487,531200,20.05
2012-09-01,7,"Transport, communications and information services",52576,531200,9.9
2012-09-01,8,Financial intermediation,24613,531200,4.63
2012-09-01,9,Real estate and housing services,4818,531200,0.91
2012-09-01,10,Business services,78450,531200,14.77
2012-09-01,11,Personal services,81152,531200,15.28
2012-09-01,12,Public administration,7096,531200,1.34
2012-10-01,1,"Agriculture, forestry and fishing",30518,536345,5.69
2012-10-01,2,Mining,13412,536345,2.5
2012-10-01,3,Manufacturing,60776,536345,11.33
2012-10-01,4,"Electricity, gas, water and waste management",5340,536345,1.0
2012-10-01,5,Construction,73707,536345,13.74
2012-10-01,6,"Wholesale and retail trade, accommodation and food services",107001,536345,19.95
2012-10-01,7,"Transport, communications and information services",52944,536345,9.87
2012-10-01,8,Financial intermediation,25193,536345,4.7
2012-10-01,9,Real estate and housing services,4838,536345,0.9
2012-10-01,10,Business services,78855,536345,14.7
2012-10-01,11,Personal services,80989,536345,15.1
2012-10-01,12,Public administration,7129,536345,1.33
2012-11-01,1,"Agriculture, forestry and fishing",31977,525028,6.09
2012-11-01,2,Mining,10592,525028,2.02
2012-11-01,3,Manufacturing,59864,525028,11.4
2012-11-01,4,"Electricity, gas, water and waste management",4981,525028,0.95
2012-11-01,5,Construction,73105,525028,13.92
2012-11-01,6,"Wholesale and retail trade, accommodation and food services",107575,525028,20.49
2012-11-01,7,"Transport, communications and information services",51353,525028,9.78
2012-11-01,8,Financial intermediation,22287,525028,4.24
2012-11-01,9,Real estate and housing services,4643,525028,0.88
2012-11-01,10,Business services,75769,525028,14.43
2012-11-01,11,Personal services,79874,525028,15.21
2012-11-01,12,Public administration,7072,525028,1.35
2012-12-01,1,"Agriculture, forestry and fishing",34346,526340,6.53
2012-12-01,2,Mining,9777,526340,1.86
2012-12-01,3,Manufacturing,59200,526340,11.25
2012-12-01,4,"Electricity, gas, water and waste management",4973,526340,0.94
2012-12-01,5,Construction,72532,526340,13.78
2012-12-01,6,"Wholesale and retail trade, accommodation and food services",107637,526340,20.45
2012-12-01,7,"Transport, communications and information services",51703,526340,9.82
2012-12-01,8,Financial intermediation,20265,526340,3.85
2012-12-01,9,Real estate and housing services,4653,526340,0.88
2012-12-01,10,Business services,76652,526340,14.56
2012-12-01,11,Personal services,79947,526340,15.19
2012-12-01,12,Public administration,7151,526340,1.36
2013-01-01,1,"Agriculture, forestry and fishing",34566,543339,6.36
2013-01-01,2,Mining,13416,543339,2.47
2013-01-01,3,Manufacturing,61232,543339,11.27
