Wage_Date;State_From;From_Label;To_Not_Present;To_Agriculture, forestry and fishing;To_Mining;To_Manufacturing;To_Electricity, gas, water and waste management;To_Construction;To_Wholesale and retail trade;;;;;;
01-05-06;1;Agriculture, forestry and fishing;0.217;0.7542;0.0003;0.0048;0.0002;0.0067;0.0065;0.0015;0.0008;0.0001;0.0044;0.0032;0.0003
01-05-06;2;Mining;0.0381;0.0019;0.9496;0.001;0.0;0.0035;0.0017;0.0015;0.0002;0.0002;0.0017;0.0006;0.0
01-05-06;3;Manufacturing;0.0753;0.002;0.0003;0.9047;0.0001;0.0056;0.004;0.0014;0.0004;0.0002;0.0045;0.0015;0.0001
01-05-06;4;Electricity, gas, water and waste management;0.0418;0.0;0.0004;0.0025;0.9408;0.0067;0.0021;0.0014;0.0;0.0;0.0025;0.0018;0.0
01-05-06;5;Construction;0.0962;0.0019;0.0008;0.0035;0.0002;0.8819;0.0031;0.0014;0.0005;0.0004;0.0066;0.0031;0.0004
01-05-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-05-06;7;Transport, communications and information services;0.0596;0.0013;0.0002;0.0017;0.0001;0.0039;0.0028;0.9234;0.0009;0.0001;0.0037;0.0022;0.0002
01-05-06;8;Financial intermediation;0.048;0.0024;0.0;0.0016;0.0;0.002;0.0048;0.002;0.9304;0.0003;0.0044;0.0038;0.0003
01-05-06;9;Real estate and housing services;0.0784;0.0023;0.0;0.002;0.0005;0.0048;0.0053;0.0015;0.0038;0.8916;0.0045;0.005;0.0003
01-05-06;10;Business services;0.0825;0.0021;0.0004;0.0032;0.0002;0.0073;0.0058;0.0027;0.0014;0.0003;0.8895;0.0044;0.0004
01-05-06;11;Personal services;0.0731;0.0026;0.0002;0.002;0.0001;0.0044;0.0043;0.0016;0.0011;0.0002;0.0071;0.9031;0.0003
01-05-06;12;Public administration;0.0848;0.0027;0.0;0.0025;0.0;0.0038;0.0035;0.0023;0.0004;0.0004;0.0052;0.0067;0.8877
01-06-06;0;Not_Present;0.0;0.1489;0.0061;0.082;0.0035;0.1939;0.1756;0.0653;0.0253;0.0082;0.1572;0.1193;0.0147
01-06-06;1;Agriculture, forestry and fishing;0.1544;0.8201;0.0003;0.0047;0.0;0.0053;0.0042;0.0014;0.0009;0.0003;0.0047;0.0034;0.0003
01-06-06;2;Mining;0.0362;0.0015;0.9495;0.0009;0.0002;0.003;0.0011;0.0011;0.0006;0.0;0.0054;0.0004;0.0
01-06-06;3;Manufacturing;0.065;0.0034;0.0003;0.9153;0.0;0.0048;0.003;0.0012;0.0015;0.0001;0.0035;0.0018;0.0001
01-06-06;4;Electricity, gas, water and waste management;0.0402;0.0014;0.0;0.0014;0.9356;0.0066;0.0014;0.001;0.0007;0.0;0.0097;0.0021;0.0
01-06-06;5;Construction;0.1033;0.003;0.0007;0.0037;0.0001;0.8738;0.0025;0.0015;0.0004;0.0003;0.0069;0.0034;0.0002
01-06-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-06-06;7;Transport, communications and information services;0.0594;0.0014;0.0001;0.0019;0.0001;0.0026;0.0031;0.9243;0.0007;0.0002;0.0043;0.0018;0.0001
01-06-06;8;Financial intermediation;0.0398;0.0017;0.0002;0.001;0.0001;0.0011;0.003;0.0009;0.9421;0.0005;0.0055;0.0039;0.0002
01-06-06;9;Real estate and housing services;0.0665;0.0026;0.0;0.0013;0.0;0.0051;0.0033;0.0013;0.0028;0.9089;0.0051;0.0026;0.0005
01-06-06;10;Business services;0.072;0.0019;0.0002;0.0035;0.0001;0.0068;0.006;0.0026;0.0015;0.0004;0.9004;0.0042;0.0004
01-06-06;11;Personal services;0.059;0.0019;0.0001;0.0015;0.0;0.0036;0.0037;0.0014;0.0008;0.0002;0.0048;0.9227;0.0004
01-06-06;12;Public administration;0.0638;0.0012;0.0002;0.0012;0.0;0.0048;0.0019;0.0004;0.0004;0.0002;0.004;0.0046;0.9174
01-07-06;0;Not_Present;0.0;0.1358;0.0066;0.0866;0.0038;0.1981;0.1775;0.0728;0.0248;0.0083;0.1557;0.1197;0.0104
01-07-06;1;Agriculture, forestry and fishing;0.0919;0.8861;0.0001;0.0039;0.0001;0.0042;0.0042;0.0017;0.0005;0.0005;0.0029;0.0036;0.0002
01-07-06;2;Mining;0.0332;0.0007;0.9443;0.0017;0.0002;0.0041;0.0022;0.0009;0.0002;0.0;0.0111;0.0011;0.0002
01-07-06;3;Manufacturing;0.0512;0.0025;0.0002;0.9306;0.0001;0.004;0.0034;0.0011;0.0006;0.0004;0.0037;0.0018;0.0001
01-07-06;4;Electricity, gas, water and waste management;0.0362;0.0004;0.0007;0.0039;0.9178;0.0042;0.0007;0.0007;0.0011;0.0004;0.0323;0.0014;0.0004
01-07-06;5;Construction;0.0994;0.0026;0.0003;0.0032;0.0001;0.8806;0.0025;0.0011;0.0005;0.0006;0.0056;0.0031;0.0002
01-07-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-07-06;7;Transport, communications and information services;0.0519;0.001;0.0003;0.0018;0.0002;0.0027;0.0026;0.9334;0.0008;0.0003;0.0032;0.0018;0.0001
01-07-06;8;Financial intermediation;0.0348;0.0018;0.0001;0.0015;0.0;0.0011;0.0024;0.0013;0.9494;0.0009;0.0042;0.0024;0.0001
01-07-06;9;Real estate and housing services;0.0593;0.0051;0.0003;0.0018;0.0;0.0048;0.0084;0.0018;0.0018;0.9048;0.0076;0.0041;0.0003
01-07-06;10;Business services;0.0675;0.0021;0.0003;0.0035;0.0001;0.0055;0.0058;0.0026;0.0016;0.0005;0.9065;0.0037;0.0002
01-07-06;11;Personal services;0.0522;0.0017;0.0002;0.0012;0.0001;0.0031;0.0036;0.0014;0.0011;0.0003;0.0058;0.9288;0.0005
01-07-06;12;Public administration;0.0705;0.0017;0.0;0.0006;0.0004;0.0041;0.003;0.0017;0.0007;0.0004;0.0024;0.0035;0.9111
01-08-06;0;Not_Present;0.0;0.1203;0.0066;0.0833;0.0044;0.2168;0.1656;0.0675;0.0225;0.0079;0.1572;0.1334;0.0146
01-08-06;1;Agriculture, forestry and fishing;0.0861;0.8943;0.0002;0.0022;0.0001;0.0045;0.0037;0.0013;0.0003;0.0002;0.0046;0.0022;0.0003
01-08-06;2;Mining;0.038;0.0007;0.9462;0.0011;0.0;0.0042;0.0022;0.0009;0.0002;0.0004;0.0035;0.0026;0.0
01-08-06;3;Manufacturing;0.057;0.002;0.0001;0.9257;0.0003;0.0044;0.0038;0.0011;0.0004;0.0001;0.0034;0.0015;0.0001
01-08-06;4;Electricity, gas, water and waste management;0.0409;0.0007;0.0;0.0022;0.9351;0.009;0.0036;0.0018;0.0004;0.0;0.0039;0.0022;0.0004
01-08-06;5;Construction;0.0973;0.0024;0.0004;0.0035;0.0002;0.8798;0.0027;0.0012;0.0004;0.0004;0.0064;0.0047;0.0005
01-08-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-08-06;7;Transport, communications and information services;0.0507;0.0014;0.0003;0.0013;0.0001;0.0032;0.0023;0.9324;0.0009;0.0001;0.0054;0.0017;0.0003
01-08-06;8;Financial intermediation;0.0413;0.0013;0.0001;0.0017;0.0001;0.0015;0.0031;0.0009;0.9421;0.0004;0.0053;0.002;0.0002
01-08-06;9;Real estate and housing services;0.0562;0.0037;0.0;0.0032;0.0005;0.0092;0.0055;0.002;0.0027;0.9036;0.0079;0.0052;0.0002
01-08-06;10;Business services;0.0645;0.0019;0.0005;0.0029;0.0001;0.006;0.0056;0.0029;0.003;0.0003;0.9071;0.0049;0.0003
01-08-06;11;Personal services;0.0545;0.0015;0.0001;0.0018;0.0001;0.0039;0.0033;0.0014;0.0012;0.0002;0.0056;0.9258;0.0008
01-08-06;12;Public administration;0.0628;0.0015;0.0002;0.0011;0.0004;0.005;0.0026;0.0006;0.0009;0.0002;0.005;0.0118;0.9079
01-09-06;0;Not_Present;0.0;0.1252;0.0066;0.0882;0.0039;0.1886;0.1864;0.0726;0.0207;0.0081;0.1673;0.1193;0.0131
01-09-06;1;Agriculture, forestry and fishing;0.1203;0.8609;0.0003;0.0038;0.0001;0.0041;0.003;0.0009;0.0008;0.0002;0.0035;0.002;0.0001
01-09-06;2;Mining;0.0354;0.0011;0.951;0.0007;0.0;0.0036;0.0009;0.0013;0.0029;0.0;0.0024;0.0005;0.0002
01-09-06;3;Manufacturing;0.0611;0.0029;0.0001;0.9213;0.0001;0.0044;0.0031;0.001;0.0004;0.0001;0.0038;0.0017;0.0001
01-09-06;4;Electricity, gas, water and waste management;0.0411;0.0021;0.0;0.0011;0.9416;0.0032;0.0057;0.0007;0.0;0.0;0.0035;0.0007;0.0004
01-09-06;5;Construction;0.1072;0.0024;0.0004;0.0029;0.0002;0.8718;0.0025;0.0015;0.0004;0.0008;0.0067;0.0028;0.0003
01-09-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-09-06;7;Transport, communications and information services;0.0519;0.0013;0.0001;0.0012;0.0001;0.0023;0.003;0.933;0.0005;0.0002;0.0043;0.0019;0.0001
01-09-06;8;Financial intermediation;0.0404;0.0012;0.0002;0.0013;0.0001;0.0018;0.0019;0.0014;0.9426;0.0003;0.0057;0.0026;0.0004
01-09-06;9;Real estate and housing services;0.0576;0.0022;0.0;0.0017;0.0;0.0054;0.003;0.0012;0.0007;0.9214;0.0037;0.003;0.0
01-09-06;10;Business services;0.0713;0.0026;0.0002;0.0041;0.0002;0.0054;0.005;0.0029;0.0015;0.0003;0.9009;0.0055;0.0002
01-09-06;11;Personal services;0.055;0.0016;0.0001;0.0013;0.0001;0.0033;0.0028;0.0013;0.001;0.0005;0.005;0.9278;0.0004
01-09-06;12;Public administration;0.067;0.0016;0.0004;0.0005;0.0004;0.0047;0.0011;0.0004;0.0002;0.0004;0.0054;0.0036;0.9144
01-10-06;0;Not_Present;0.0;0.2234;0.0056;0.0833;0.0035;0.1919;0.1646;0.0585;0.0171;0.0062;0.1353;0.0997;0.0108
01-10-06;1;Agriculture, forestry and fishing;0.0758;0.8992;0.0003;0.0037;0.0002;0.0059;0.005;0.0018;0.0006;0.0002;0.0042;0.0031;0.0001
01-10-06;2;Mining;0.0356;0.0024;0.9474;0.002;0.0002;0.0051;0.0013;0.0018;0.0002;0.0;0.0033;0.0009;0.0
01-10-06;3;Manufacturing;0.0468;0.0034;0.0002;0.9329;0.0001;0.0059;0.0031;0.0009;0.0005;0.0001;0.0038;0.0022;0.0001
01-10-06;4;Electricity, gas, water and waste management;0.049;0.0028;0.0004;0.0021;0.932;0.0046;0.0032;0.0014;0.0004;0.0;0.0018;0.0011;0.0014
01-10-06;5;Construction;0.0949;0.004;0.0004;0.0041;0.0002;0.8788;0.0033;0.0017;0.0004;0.0006;0.0068;0.0042;0.0004
01-10-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-10-06;7;Transport, communications and information services;0.0467;0.0018;0.0002;0.0015;0.0002;0.0029;0.003;0.935;0.0007;0.0001;0.0049;0.0031;0.0001
01-10-06;8;Financial intermediation;0.0334;0.0019;0.0002;0.0014;0.0001;0.0017;0.0027;0.0011;0.9493;0.0005;0.0048;0.0028;0.0
01-10-06;9;Real estate and housing services;0.0445;0.0024;0.0;0.0027;0.0;0.0133;0.0034;0.0019;0.0019;0.9221;0.0041;0.0036;0.0
01-10-06;10;Business services;0.0612;0.0033;0.0004;0.003;0.0002;0.007;0.0055;0.0029;0.0024;0.0004;0.9091;0.0041;0.0005
01-10-06;11;Personal services;0.0481;0.0019;0.0001;0.0018;0.0001;0.0041;0.003;0.0015;0.0009;0.0004;0.0067;0.9313;0.0002
01-10-06;12;Public administration;0.0547;0.0034;0.0004;0.0013;0.0;0.0047;0.0023;0.0007;0.0002;0.0;0.0045;0.016;0.9119
01-11-06;0;Not_Present;0.0;0.2101;0.0058;0.0736;0.0038;0.1709;0.1853;0.069;0.0197;0.0071;0.1502;0.0962;0.0083
01-11-06;1;Agriculture, forestry and fishing;0.0748;0.8981;0.0004;0.0029;0.0001;0.0057;0.0055;0.0024;0.0008;0.0003;0.0048;0.0042;0.0001
01-11-06;2;Mining;0.0297;0.0027;0.9507;0.0011;0.0002;0.0052;0.0021;0.0011;0.0004;0.0002;0.0048;0.0018;0.0002
01-11-06;3;Manufacturing;0.0478;0.0034;0.0002;0.9311;0.0001;0.0047;0.0046;0.0012;0.0006;0.0001;0.0046;0.0016;0.0001
01-11-06;4;Electricity, gas, water and waste management;0.0311;0.001;0.0;0.0007;0.9518;0.0031;0.0028;0.0021;0.0007;0.0003;0.0042;0.0017;0.0003
01-11-06;5;Construction;0.0959;0.0058;0.0007;0.0047;0.0002;0.873;0.0036;0.002;0.0005;0.0005;0.0081;0.0045;0.0005
01-11-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-11-06;7;Transport, communications and information services;0.046;0.0031;0.0004;0.0015;0.0001;0.0033;0.0032;0.9356;0.0004;0.0003;0.0042;0.002;0.0
01-11-06;8;Financial intermediation;0.0308;0.003;0.0001;0.0017;0.0001;0.0017;0.0034;0.0015;0.9483;0.0005;0.0071;0.0019;0.0001
01-11-06;9;Real estate and housing services;0.0417;0.0033;0.0;0.0007;0.0;0.0081;0.0033;0.0009;0.0014;0.9315;0.0052;0.0038;0.0
01-11-06;10;Business services;0.0614;0.004;0.0005;0.0033;0.0003;0.0067;0.0089;0.0031;0.0014;0.0003;0.9026;0.0073;0.0002
01-11-06;11;Personal services;0.05;0.003;0.0001;0.0015;0.0002;0.0042;0.003;0.0013;0.0009;0.0003;0.0062;0.9291;0.0003
01-11-06;12;Public administration;0.0659;0.0046;0.0002;0.0009;0.0002;0.0053;0.0021;0.0012;0.0007;0.0;0.0063;0.0085;0.9042
01-12-06;0;Not_Present;0.0;0.1801;0.0064;0.0772;0.0033;0.1401;0.2186;0.067;0.02;0.0061;0.1647;0.1019;0.0146
01-12-06;1;Agriculture, forestry and fishing;0.0868;0.887;0.0003;0.0024;0.0001;0.0051;0.0061;0.002;0.0006;0.0003;0.0055;0.0036;0.0002
01-12-06;2;Mining;0.0332;0.0026;0.948;0.0014;0.0002;0.003;0.0028;0.0024;0.0007;0.0;0.0047;0.001;0.0
01-12-06;3;Manufacturing;0.0501;0.0035;0.0011;0.9297;0.0001;0.004;0.004;0.0011;0.0005;0.0002;0.004;0.0017;0.0001
01-12-06;4;Electricity, gas, water and waste management;0.0368;0.0003;0.0;0.0017;0.9385;0.0047;0.0078;0.0007;0.0;0.0;0.0084;0.0007;0.0003
01-12-06;5;Construction;0.1054;0.0049;0.0007;0.0036;0.0003;0.8692;0.0032;0.0016;0.0005;0.0004;0.0067;0.0029;0.0006
01-12-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-12-06;7;Transport, communications and information services;0.0481;0.0023;0.0001;0.0015;0.0;0.0029;0.004;0.9339;0.0007;0.0003;0.0043;0.0017;0.0001
01-12-06;8;Financial intermediation;0.0326;0.0021;0.0001;0.0021;0.0008;0.0015;0.0027;0.001;0.9488;0.0002;0.0048;0.0033;0.0001
01-12-06;9;Real estate and housing services;0.0442;0.0041;0.0002;0.0018;0.0;0.0103;0.0036;0.0014;0.0016;0.9227;0.0057;0.0039;0.0005
01-12-06;10;Business services;0.063;0.0029;0.0003;0.0043;0.0005;0.006;0.0066;0.0028;0.0014;0.0003;0.9078;0.0039;0.0003
01-12-06;11;Personal services;0.0561;0.0025;0.0001;0.0016;0.0001;0.003;0.0036;0.0015;0.0008;0.0003;0.007;0.9228;0.0005
01-12-06;12;Public administration;0.0667;0.0036;0.0;0.0009;0.0004;0.0059;0.0036;0.0004;0.0005;0.0;0.0034;0.007;0.9077
01-01-07;0;Not_Present;0.0;0.1904;0.0063;0.0861;0.0041;0.1799;0.1614;0.0676;0.02;0.0071;0.1479;0.1159;0.0132
01-01-07;1;Agriculture, forestry and fishing;0.1383;0.8274;0.0003;0.0056;0.0002;0.0061;0.0057;0.0022;0.0011;0.0004;0.0063;0.0063;0.0002
01-01-07;2;Mining;0.0529;0.0017;0.9247;0.0097;0.0002;0.0032;0.0007;0.0007;0.0002;0.0002;0.0039;0.0019;0.0
01-01-07;3;Manufacturing;0.0775;0.0044;0.0003;0.8956;0.0002;0.0059;0.0041;0.0019;0.0006;0.0005;0.0065;0.0026;0.0001
01-01-07;4;Electricity, gas, water and waste management;0.0453;0.002;0.0007;0.0077;0.9133;0.0067;0.0023;0.004;0.0003;0.0;0.0097;0.005;0.003
01-01-07;5;Construction;0.1117;0.0055;0.0007;0.0059;0.0006;0.8516;0.0039;0.0034;0.0012;0.0005;0.0096;0.0048;0.0005
01-01-07;6;Wholesale and retail trade;;;;;;;;;;;;;
01-01-07;7;Transport, communications and information services;0.0647;0.0033;0.0006;0.0039;0.0005;0.0034;0.0044;0.9088;0.0018;0.0002;0.0044;0.0038;0.0002
01-01-07;8;Financial intermediation;0.0367;0.0026;0.0002;0.0016;0.0001;0.0023;0.0023;0.0021;0.938;0.0005;0.0076;0.0058;0.0
01-01-07;9;Real estate and housing services;0.0598;0.0068;0.0005;0.0027;0.0005;0.0073;0.0043;0.0023;0.0025;0.903;0.0057;0.0048;0.0
01-01-07;10;Business services;0.0937;0.005;0.0008;0.0101;0.0006;0.0082;0.0139;0.0074;0.0052;0.0019;0.8449;0.0079;0.0004
01-01-07;11;Personal services;0.0902;0.005;0.0003;0.0036;0.0004;0.0047;0.0092;0.0023;0.0026;0.0005;0.008;0.8723;0.0009
01-01-07;12;Public administration;0.1578;0.006;0.0;0.0016;0.0007;0.0105;0.0017;0.0021;0.0005;0.0003;0.0045;0.0065;0.8078
01-02-07;0;Not_Present;0.0;0.1731;0.0071;0.0942;0.0039;0.1755;0.1771;0.0801;0.0177;0.0056;0.1599;0.0965;0.0093
01-02-07;1;Agriculture, forestry and fishing;0.1344;0.83;0.0004;0.0055;0.0001;0.0065;0.0087;0.0024;0.0006;0.0002;0.0064;0.0046;0.0001
01-02-07;2;Mining;0.0361;0.0039;0.945;0.001;0.0003;0.0035;0.0015;0.0013;0.0003;0.0;0.0047;0.002;0.0002
01-02-07;3;Manufacturing;0.0606;0.0042;0.0003;0.917;0.0002;0.0042;0.0041;0.0019;0.0003;0.0001;0.0051;0.002;0.0
01-02-07;4;Electricity, gas, water and waste management;0.0393;0.0016;0.0003;0.001;0.9396;0.007;0.0022;0.001;0.0;0.0006;0.0051;0.0022;0.0
01-02-07;5;Construction;0.1064;0.005;0.0007;0.0055;0.0003;0.8631;0.0034;0.0022;0.0004;0.0003;0.0085;0.0039;0.0003
01-02-07;6;Wholesale and retail trade;;;;;;;;;;;;;
01-02-07;7;Transport, communications and information services;0.0576;0.0024;0.0005;0.0023;0.0001;0.0035;0.0057;0.919;0.0009;0.0001;0.0055;0.0022;0.0001
01-02-07;8;Financial intermediation;0.0369;0.0027;0.0003;0.0021;0.0001;0.0028;0.007;0.0025;0.9322;0.0003;0.0106;0.0024;0.0002
01-02-07;9;Real estate and housing services;0.054;0.0043;0.0009;0.0041;0.0;0.008;0.0043;0.0011;0.0011;0.9127;0.0064;0.003;0.0002
01-02-07;10;Business services;0.0805;0.0047;0.0007;0.0077;0.0011;0.0067;0.0117;0.0063;0.0036;0.0008;0.8703;0.0057;0.0003
01-02-07;11;Personal services;0.0742;0.0061;0.0002;0.0031;0.0003;0.0043;0.0054;0.0033;0.0015;0.0003;0.0087;0.8924;0.0002
01-02-07;12;Public administration;0.0624;0.0029;0.0002;0.002;0.0002;0.0036;0.0016;0.0007;0.0005;0.0;0.0049;0.0036;0.9173
01-03-07;0;Not_Present;0.0;0.1002;0.0054;0.1019;0.004;0.1552;0.2062;0.0649;0.0181;0.0062;0.1414;0.1833;0.0133
01-03-07;1;Agriculture, forestry and fishing;0.1432;0.8193;0.0002;0.0071;0.0002;0.0054;0.0092;0.0019;0.0006;0.0002;0.0065;0.0061;0.0003
01-03-07;2;Mining;0.0416;0.0026;0.9423;0.0019;0.0;0.0029;0.0011;0.0008;0.001;0.0003;0.0042;0.001;0.0002
01-03-07;3;Manufacturing;0.0609;0.0031;0.0002;0.917;0.0;0.0048;0.0055;0.0013;0.0006;0.0002;0.0039;0.0023;0.0001
01-03-07;4;Electricity, gas, water and waste management;0.0418;0.0034;0.0;0.0024;0.9326;0.0034;0.0073;0.0018;0.0006;0.0;0.0046;0.0012;0.0009
01-03-07;5;Construction;0.0962;0.0033;0.0005;0.0044;0.0002;0.877;0.0034;0.0019;0.0004;0.0007;0.0074;0.004;0.0005
01-03-07;6;Wholesale and retail trade;;;;;;;;;;;;;
01-03-07;7;Transport, communications and information services;0.0553;0.0018;0.0005;0.0022;0.0001;0.003;0.0039;0.9254;0.0005;0.0003;0.004;0.003;0.0
01-03-07;8;Financial intermediation;0.0392;0.0024;0.0001;0.0028;0.0001;0.0023;0.0041;0.0012;0.9397;0.0003;0.0048;0.003;0.0001
01-03-07;9;Real estate and housing services;0.0566;0.0017;0.0015;0.0019;0.0002;0.0054;0.008;0.0015;0.0035;0.9028;0.0071;0.0097;0.0
01-03-07;10;Business services;0.0793;0.0038;0.0004;0.005;0.0007;0.0073;0.0099;0.0051;0.0033;0.0004;0.8736;0.0091;0.002
01-03-07;11;Personal services;0.0849;0.0045;0.0003;0.0025;0.0001;0.0045;0.0058;0.0027;0.0008;0.0005;0.0082;0.8844;0.0008
01-03-07;12;Public administration;0.1111;0.0021;0.0;0.0052;0.0002;0.0102;0.0045;0.0009;0.0004;0.0002;0.0063;0.0299;0.8291
01-04-07;0;Not_Present;0.0;0.1009;0.0073;0.0982;0.0038;0.1825;0.1941;0.0684;0.02;0.0086;0.1669;0.1397;0.0098
