Sector From,Sector To,Cantidad Trabajadores,Total trabajadores que se movieron
"Wholesale and retail trade, accommodation and food services",Business services,43749,1456302
"Wholesale and retail trade, accommodation and food services",Manufacturing,24952,1456302
"Wholesale and retail trade, accommodation and food services",Personal services,21240,1456302
"Wholesale and retail trade, accommodation and food services",Construction,19319,1456302
"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",17717,1456302
"Wholesale and retail trade, accommodation and food services",Financial intermediation,14316,1456302
"Wholesale and retail trade, accommodation and food services","Agriculture, forestry and fishing",10018,1456302
"Wholesale and retail trade, accommodation and food services",Real estate and housing services,2558,1456302
"Wholesale and retail trade, accommodation and food services",Mining,2449,1456302
"Wholesale and retail trade, accommodation and food services","Electricity, gas, water and waste management",1453,1456302
"Wholesale and retail trade, accommodation and food services",Public administration,1341,1456302
