State_From,Top1_To,Top1_Count,Top1_Share,Top2_To,Top2_Count,Top2_Share,Top3_To,Top3_Count,Top3_Share,Top4_To,Top4_Count,Top4_Share,Top5_To,Top5_Count,Top5_Share
"Agriculture, forestry and fishing","Agriculture, forestry and fishing",6324706,0.893141806585776,"Unemployment from Agriculture, forestry and fishing",707605,0.09992426652703351,"Wholesale and retail trade, accommodation and food services",10180,0.001437566203242206,Construction,8746,0.0012350642449465946,Manufacturing,8685,0.0012264501449075205
Business services,Business services,16698863,0.9254480346329559,Unemployment from Business services,1094840,0.06067583920159986,Construction,52336,0.0029004518655282325,"Wholesale and retail trade, accommodation and food services",49325,0.0027335827779574303,Personal services,39961,0.002214631553775101
Construction,Construction,12904751,0.890214406119992,Unemployment from Construction,1444027,0.09961398234078547,Business services,53285,0.003675783796998778,Manufacturing,23938,0.0016513261242855728,"Wholesale and retail trade, accommodation and food services",16333,0.0011267068923032943
"Electricity, gas, water and waste management","Electricity, gas, water and waste management",1273945,0.9493668999447793,"Unemployment from Electricity, gas, water and waste management",55357,0.04125303955841355,Construction,3504,0.002611244298149847,Business services,3034,0.0022609917809893365,"Wholesale and retail trade, accommodation and food services",1139,0.0008488034405230238
Entry,"Wholesale and retail trade, accommodation and food services",301017,0.20418577549922637,Personal services,208073,0.14114002486720195,Business services,201052,0.1363775419184646,Construction,154157,0.10456773734916712,Manufacturing,131380,0.08911764845536418
Financial intermediation,Financial intermediation,4670516,0.9436670770929213,Unemployment from Financial intermediation,212940,0.04302404004100761,Business services,14407,0.0029109014035446443,"Wholesale and retail trade, accommodation and food services",12647,0.0025552974283771165,Personal services,11524,0.002328397846494654
Manufacturing,Manufacturing,12193531,0.9440684146875876,Unemployment from Manufacturing,613318,0.04748535530515007,"Wholesale and retail trade, accommodation and food services",25007,0.0019361347296441452,Construction,24839,0.0019231275462722806,Business services,23837,0.0018455489883043743
Mining,Mining,2012619,0.9221005146963823,Unemployment from Mining,156180,0.07155535070735246,Construction,3918,0.0017950689209335824,Business services,3834,0.0017565835229350064,Manufacturing,1284,0.0005882767979782337
Personal services,Personal services,18776628,0.9554379141578737,Unemployment from Personal services,756634,0.03850088582150792,Business services,37923,0.001929690039053287,"Wholesale and retail trade, accommodation and food services",22438,0.0011417447221020926,Financial intermediation,12533,0.0006377344951468725
Public administration,Public administration,1963564,0.9591606750590693,Unemployment from Public administration,72260,0.035297525509618406,Personal services,5136,0.002508830487370608,Business services,1515,0.0007400463762395776,Construction,1325,0.0006472352795494656
Real estate and housing services,Real estate and housing services,982612,0.9399037150900243,Unemployment from Real estate and housing services,47696,0.045622939262836,Construction,3514,0.003361267371888747,"Wholesale and retail trade, accommodation and food services",2721,0.002602734353702129,Business services,2690,0.002573081738867595
"Transport, communications and information services","Transport, communications and information services",11502573,0.9475230820594676,"Unemployment from Transport, communications and information services",544430,0.04484735646238767,Business services,26474,0.002180792599572491,"Wholesale and retail trade, accommodation and food services",16913,0.0013932063623392588,Construction,13538,0.0011151911389670009
"Unemployment from Agriculture, forestry and fishing","Unemployment from Agriculture, forestry and fishing",6314682,0.9027173374630264,"Agriculture, forestry and fishing",514193,0.07350662090381209,"Wholesale and retail trade, accommodation and food services",39279,0.005615141712315872,Construction,38919,0.005563677799883434,Business services,27264,0.003897533634883269
Unemployment from Business services,Unemployment from Business services,10569376,0.9121063331963223,Business services,594429,0.0512974896091838,Construction,102399,0.008836735150019284,"Wholesale and retail trade, accommodation and food services",96787,0.008352435912117465,Personal services,70207,0.006058659407586048
Unemployment from Construction,Unemployment from Construction,11097755,0.890143103809356,Construction,1017593,0.08162041705143734,Business services,107401,0.008614558484326663,Manufacturing,58310,0.004677003987123842,"Wholesale and retail trade, accommodation and food services",55012,0.004412473732458528
"Unemployment from Electricity, gas, water and waste management","Unemployment from Electricity, gas, water and waste management",465889,0.9012926765097348,"Electricity, gas, water and waste management",27776,0.05373448478657876,Construction,7236,0.01399851425387687,Business services,5077,0.009821787847834834,"Wholesale and retail trade, accommodation and food services",2742,0.005304577955241898
Unemployment from Financial intermediation,Unemployment from Financial intermediation,2219282,0.9176585685352987,Financial intermediation,134629,0.05566820954855612,Business services,18160,0.007509041034262894,"Wholesale and retail trade, accommodation and food services",13239,0.0054742397716192985,Personal services,9961,0.004118808245720963
Unemployment from Manufacturing,Unemployment from Manufacturing,5929021,0.9119056715440912,Manufacturing,319670,0.049166445189264746,Construction,61839,0.00951107017880609,"Wholesale and retail trade, accommodation and food services",59721,0.009185313833478525,Business services,53492,0.008227270266412706
Unemployment from Mining,Unemployment from Mining,786242,0.8382164491457301,Mining,124433,0.1326586310786636,Construction,8379,0.008932892960935784,Business services,7060,0.007526700597231965,"Wholesale and retail trade, accommodation and food services",2954,0.0031492738759522983
Unemployment from Personal services,Unemployment from Personal services,10119499,0.9374882981864354,Personal services,462084,0.04280827961731908,Business services,68995,0.006391818916467417,"Wholesale and retail trade, accommodation and food services",47630,0.004412527501867426,Construction,30289,0.002806026569474333
Unemployment from Public administration,Unemployment from Public administration,1067900,0.9444391381097421,Public administration,41914,0.03706828545250654,Personal services,6011,0.005316062982655361,Construction,3787,0.0033491815863110714,Business services,3416,0.003021073223881336
Unemployment from Real estate and housing services,Unemployment from Real estate and housing services,591056,0.9323429245662492,Real estate and housing services,19553,0.030843272387123845,Construction,5343,0.008428149356334205,Business services,4783,0.007544794754135598,"Wholesale and retail trade, accommodation and food services",4715,0.007437530266725768
"Unemployment from Transport, communications and information services","Unemployment from Transport, communications and information services",5576174,0.9178500461544337,"Transport, communications and information services",317071,0.05219055789583188,Business services,49364,0.00812541891238822,"Wholesale and retail trade, accommodation and food services",38688,0.006368126709392987,Construction,32748,0.005390390133354051
"Unemployment from Wholesale and retail trade, accommodation and food services","Unemployment from Wholesale and retail trade, accommodation and food services",14741276,0.9252480018036381,"Wholesale and retail trade, accommodation and food services",797798,0.0500744308255906,Business services,110425,0.006930913619632841,Construction,59496,0.0037343141201147886,Personal services,57903,0.0036343281984840426
"Wholesale and retail trade, accommodation and food services","Wholesale and retail trade, accommodation and food services",23779536,0.9422923066790966,"Unemployment from Wholesale and retail trade, accommodation and food services",1297190,0.05140269167998305,Business services,43749,0.0017336059931911119,Manufacturing,24952,0.000988752582735711,Personal services,21240,0.0008416601818413956
