index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Real_Avg_Wage,year,month,Real_Avg_Wage_sa,Real_Avg_Wage_trend,Real_Wage_Growth_SA,Real_Wage_Growth_SA_Annual
113,2017-06-01,2017-06-01,1,"Agriculture, forestry and fishing",765627.4,2017,6,782493.4657460172,789266.2020833333,-0.30946191399798817,3.89819041777808
114,2017-07-01,2017-07-01,1,"Agriculture, forestry and fishing",776313.21,2017,7,778371.1339935662,789928.9024999999,-0.5268199586204614,-2.846463296159907
115,2017-08-01,2017-08-01,1,"Agriculture, forestry and fishing",781828.38,2017,8,781802.3256112132,791708.7641666665,0.4408169146821628,-2.780703606710644
116,2017-09-01,2017-09-01,1,"Agriculture, forestry and fishing",820240.08,2017,9,790111.3544102329,793664.0866666667,1.062804308304366,-2.4738165079917884
117,2017-10-01,2017-10-01,1,"Agriculture, forestry and fishing",784147.15,2017,10,796560.5303553923,796148.52875,0.8162363329119904,-1.5177903951184124
118,2017-11-01,2017-11-01,1,"Agriculture, forestry and fishing",794026.07,2017,11,803981.3547564337,798437.2904166667,0.931608348424029,-2.800048565657831
119,2017-12-01,2017-12-01,1,"Agriculture, forestry and fishing",845425.13,2017,12,806145.2878293504,800600.6866666665,0.2691521463917823,-1.1230531711944214
120,2018-01-01,2018-01-01,1,"Agriculture, forestry and fishing",799885.79,2018,1,806662.6217095589,802431.9320833333,0.06417377711174233,3.206375456371946
121,2018-02-01,2018-02-01,1,"Agriculture, forestry and fishing",795631.64,2018,2,804858.5983762254,806326.0779166665,-0.22364037762282463,2.2428268231216686
122,2018-03-01,2018-03-01,1,"Agriculture, forestry and fishing",815958.38,2018,3,816831.4062668505,813203.6929166666,1.487566625340131,3.7168174198183745
123,2018-04-01,2018-04-01,1,"Agriculture, forestry and fishing",808048.49,2018,4,816218.9990012255,819923.1829166666,-0.07497352096486054,3.8625575884660757
124,2018-05-01,2018-05-01,1,"Agriculture, forestry and fishing",806403.67,2018,5,809498.3119439338,825962.9799999999,-0.823392626919428,3.13098553540454
125,2018-06-01,2018-06-01,1,"Agriculture, forestry and fishing",792973.1,2018,6,809839.1657460171,833626.2262499998,0.04210679590730404,3.4946873292966085
126,2018-07-01,2018-07-01,1,"Agriculture, forestry and fishing",792917.4,2018,7,794975.3239935662,842592.0270833333,-1.8354066314832385,2.1331970412121315
127,2018-08-01,2018-08-01,1,"Agriculture, forestry and fishing",858683.69,2018,8,858657.6356112132,851434.1374999998,8.010602303696457,9.83052972372709
128,2018-09-01,2018-09-01,1,"Agriculture, forestry and fishing",908447.53,2018,9,878318.8044102329,858966.6291666667,2.2897564737806686,11.16392638931778
129,2018-10-01,2018-10-01,1,"Agriculture, forestry and fishing",857207.46,2018,10,869620.8403553922,865097.8179166665,-0.9902969185182298,9.171972149737751
130,2018-11-01,2018-11-01,1,"Agriculture, forestry and fishing",865920.89,2018,11,875876.1747564338,871539.9516666665,0.7193174439661831,8.942349169500407
131,2018-12-01,2018-12-01,1,"Agriculture, forestry and fishing",957448.22,2018,12,918168.3778293504,876236.5254166664,4.8285595945885,13.896141513353811
132,2019-01-01,2019-01-01,1,"Agriculture, forestry and fishing",903041.92,2019,1,909818.7517095589,880639.4162499999,-0.9093785324572945,12.788014124341274
133,2019-02-01,2019-02-01,1,"Agriculture, forestry and fishing",904686.16,2019,2,913913.1183762255,884024.4866666667,0.45002003519638567,13.549525372532978
134,2019-03-01,2019-03-01,1,"Agriculture, forestry and fishing",887683.66,2019,3,888556.6862668506,885394.9454166667,-2.774490441107391,8.78091604334912
135,2019-04-01,2019-04-01,1,"Agriculture, forestry and fishing",883471.74,2019,4,891642.2490012255,886992.6283333332,0.3472555867356508,9.240565349776531
136,2019-05-01,2019-05-01,1,"Agriculture, forestry and fishing",885591.63,2019,5,888686.2719439338,888187.0483333331,-0.3315205241342878,9.78235023243441
137,2019-06-01,2019-06-01,1,"Agriculture, forestry and fishing",826502.91,2019,6,843368.9757460172,887817.8208333332,-5.099358190690673,4.140304818316931
138,2019-07-01,2019-07-01,1,"Agriculture, forestry and fishing",865056.97,2019,7,867114.8939935662,888362.4404166666,2.8156025334633794,9.074441410030953
139,2019-08-01,2019-08-01,1,"Agriculture, forestry and fishing",867785.81,2019,8,867759.7556112133,891279.2849999998,0.07436864735157478,1.06004065211871
140,2019-09-01,2019-09-01,1,"Agriculture, forestry and fishing",932236.42,2019,9,902107.694410233,895729.4433333332,3.95823136264557,2.7084573255804933
141,2019-10-01,2019-10-01,1,"Agriculture, forestry and fishing",871762.96,2019,10,884176.3403553922,902783.20625,-1.987717671177125,1.6737754345964806
142,2019-11-01,2019-11-01,1,"Agriculture, forestry and fishing",880031.47,2019,11,889986.7547564338,910705.01125,0.6571556075235074,1.6110245268315282
143,2019-12-01,2019-12-01,1,"Agriculture, forestry and fishing",934476.18,2019,12,895196.3378293505,920588.3374999999,0.5853551241155719,-2.5019419699803147
144,2020-01-01,2020-01-01,1,"Agriculture, forestry and fishing",939084.83,2020,1,945861.6617095588,930581.26125,5.659688466002932,3.9615483778802085
