MIP_sector_id,Vol_Nominal_Wage_SA
1,231575.8379322773
2,572016.889320003
3,287298.26570784906
4,319805.47131790436
5,236080.1322651386
6,241288.5377583376
7,287386.13446494093
8,449660.2650838686
9,310592.62519694597
10,256948.83281006367
11,254615.6725533983
12,198857.45168263532
