MIP_sector_id,Vol_Real_Wage_SA
1,150994.24440683174
2,404218.9105654827
3,179170.46273686946
4,192637.34744385543
5,130149.18306438146
6,147071.66639921803
7,173226.87418541615
8,308639.9612928902
9,213799.27687981384
10,153616.42035152004
11,151946.55587754244
12,116687.05200930397
